countryname,countrycode,co2,gdp,anio
América Latina y el Caribe (excluido altos ingresos)                  ,LAC ,3106026.5340000,3701.8186090,1994
República Democrática Popular Lao                                     ,LAO ,28147.0160000,325.9410612,1994
Líbano                                                                ,LBN ,13588.2585300,2820.4878450,1994
Liberia                                                               ,LBR ,1385.6043600,,1994
Libia                                                                 ,LBY ,60863.3452000,5892.6176120,1994
Santa Lucía                                                           ,LCA ,312.0767200,4919.2786450,1994
América Latina y el Caribe                                            ,LCN ,3214429.4480000,3801.5257860,1994
Países menos desarrollados: clasificación de las Naciones Unidas      ,LDC ,3240259.0540000,245.1820160,1994
Países de ingreso bajo                                                ,LIC ,2021960.6080000,244.4520295,1994
Liechtenstein                                                         ,LIE ,0.0000000,64028.0755800,1994
Sri Lanka                                                             ,LKA ,20754.4340000,647.5790491,1994
Mauritania                                                            ,MRT ,7881.2337000,862.2757520,1994
Países de ingreso mediano bajo                                        ,LMC ,5426687.8190000,450.7793120,1994
Ingreso mediano y bajo                                                ,LMY ,22172189.8100000,973.5113913,1994
Lesotho                                                               ,LSO ,1969.1242000,471.8417914,1994
avanzada del dividendo demográfico                                    ,LTE ,11400244.4000000,1276.9896250,1994
Lituania                                                              ,LTU ,30200.1330000,,1994
Luxemburgo                                                            ,LUX ,12977.0498300,45481.8922000,1994
Letonia                                                               ,LVA ,21073.7740000,,1994
"Región Administrativa Especial de Macao, China                        ",MAC ,0.0000000,16585.1705200,1994
Isla de San Martín (parte francesa)                                   ,MAF ,0.0000000,,1994
Marruecos                                                             ,MAR ,41252.8030000,1326.9413040,1994
Mónaco                                                                ,MCO ,0.0000000,89380.5747800,1994
República de Moldova                                                  ,MDA ,19013.9288000,,1994
Madagascar                                                            ,MDG ,45839.3830000,269.5607325,1994
Oriente Medio y Norte de África                                       ,MEA ,1214656.7450000,2277.2301380,1994
México                                                                ,MEX ,520225.7720000,5854.4178570,1994
Islas Marshall                                                        ,MHL ,0.0000000,2152.1656880,1994
 Ingreso mediano                                                      ,MIC ,20150229.2000000,1032.4324680,1994
Macedonia del Norte                                                   ,MKD ,11650.6719000,1794.7098970,1994
Malí                                                                  ,MLI ,28923.5650000,223.0180230,1994
Malta                                                                 ,MLT ,2824.3409600,8000.5180050,1994
Myanmar                                                               ,MMR ,820857.1700000,,1994
Oriente Medio y Norte de África (excluido altos ingresos)             ,MNA ,966435.2441000,1201.5642550,1994
Montenegro                                                            ,MNE ,0.0000000,,1994
Mongolia                                                              ,MNG ,56917.8840000,405.9748378,1994
Mariana                                                               ,MNP ,6.4954702,,1994
Mozambique                                                            ,MOZ ,35829.7280000,186.8485304,1994
Mauricio                                                              ,MUS ,1658.3809100,3197.3310240,1994
Malawi                                                                ,MWI ,7781.9892000,121.2641276,1994
Malasia                                                               ,MYS ,228129.1697000,3728.1119740,1994
América del Norte                                                     ,NAC ,7182693.3110000,26925.4615100,1994
Namibia                                                               ,NAM ,7299.7744000,2284.5808110,1994
Nueva Caledonia                                                       ,NCL ,0.0000000,16037.0252400,1994
Níger                                                                 ,NER ,7995.5861800,212.3898806,1994
Nigeria                                                               ,NGA ,174508.4000000,321.3206772,1994
Nicaragua                                                             ,NIC ,11082.2681000,847.3744318,1994
